Frame_Index,Frame_Name,Predicted_Speed_m/s
701,video_frame_000701.png,12.587267
702,video_frame_000702.png,12.963009
703,video_frame_000703.png,12.905673
704,video_frame_000704.png,12.160339
705,video_frame_000705.png,8.957459
706,video_frame_000706.png,3.450159
707,video_frame_000707.png,2.632154
708,video_frame_000708.png,1.752203
709,video_frame_000709.png,1.078727
710,video_frame_000710.png,0.649186
711,video_frame_000711.png,0.571806
712,video_frame_000712.png,0.593260
713,video_frame_000713.png,0.579600
714,video_frame_000714.png,0.579412
715,video_frame_000715.png,0.583923
716,video_frame_000716.png,0.600911
717,video_frame_000717.png,0.617245
718,video_frame_000718.png,0.683192
719,video_frame_000719.png,0.697832
720,video_frame_000720.png,0.713687
721,video_frame_000721.png,0.704828
722,video_frame_000722.png,0.707793
723,video_frame_000723.png,0.729648
724,video_frame_000724.png,0.722442
725,video_frame_000725.png,0.726954
726,video_frame_000726.png,0.799765
727,video_frame_000727.png,0.840361
728,video_frame_000728.png,0.825268
729,video_frame_000729.png,0.823191
730,video_frame_000730.png,0.824679
731,video_frame_000731.png,0.822403
732,video_frame_000732.png,0.837369
733,video_frame_000733.png,0.823138
734,video_frame_000734.png,0.848600
735,video_frame_000735.png,0.880487
736,video_frame_000736.png,0.876907
737,video_frame_000737.png,0.782270
738,video_frame_000738.png,0.722775
739,video_frame_000739.png,0.663485
740,video_frame_000740.png,0.671177
741,video_frame_000741.png,0.687669
742,video_frame_000742.png,0.794814
743,video_frame_000743.png,0.933466
744,video_frame_000744.png,1.024707
745,video_frame_000745.png,1.030776
746,video_frame_000746.png,0.986675
747,video_frame_000747.png,0.963821
748,video_frame_000748.png,0.968307
749,video_frame_000749.png,0.987334
750,video_frame_000750.png,1.007105
751,video_frame_000751.png,1.066969
752,video_frame_000752.png,1.010039
753,video_frame_000753.png,0.874641
754,video_frame_000754.png,0.750530
755,video_frame_000755.png,0.725730
756,video_frame_000756.png,0.735992
757,video_frame_000757.png,0.745703
758,video_frame_000758.png,0.772897
759,video_frame_000759.png,0.902063
760,video_frame_000760.png,0.973339
761,video_frame_000761.png,1.004928
762,video_frame_000762.png,0.927665
763,video_frame_000763.png,0.912216
764,video_frame_000764.png,0.907838
765,video_frame_000765.png,0.915662
766,video_frame_000766.png,0.934443
767,video_frame_000767.png,1.045446
768,video_frame_000768.png,1.160793
769,video_frame_000769.png,1.167477
770,video_frame_000770.png,1.053795
771,video_frame_000771.png,0.975929
772,video_frame_000772.png,0.993661
773,video_frame_000773.png,1.003014
774,video_frame_000774.png,1.024730
775,video_frame_000775.png,1.118054
776,video_frame_000776.png,1.179526
777,video_frame_000777.png,1.104593
778,video_frame_000778.png,0.964429
779,video_frame_000779.png,0.882688
780,video_frame_000780.png,0.838091
781,video_frame_000781.png,0.812381
782,video_frame_000782.png,0.807433
783,video_frame_000783.png,0.854608
784,video_frame_000784.png,0.892760
785,video_frame_000785.png,0.873441
786,video_frame_000786.png,0.793846
787,video_frame_000787.png,0.761804
788,video_frame_000788.png,0.749176
789,video_frame_000789.png,0.752017
790,video_frame_000790.png,0.786400
791,video_frame_000791.png,0.824295
792,video_frame_000792.png,0.955818
793,video_frame_000793.png,1.009698
794,video_frame_000794.png,0.977191
795,video_frame_000795.png,0.903954
796,video_frame_000796.png,0.887630
797,video_frame_000797.png,0.896689
798,video_frame_000798.png,0.925179
799,video_frame_000799.png,0.978250
800,video_frame_000800.png,1.033736
801,video_frame_000801.png,1.045528
802,video_frame_000802.png,0.916653
803,video_frame_000803.png,0.778368
804,video_frame_000804.png,0.761760
805,video_frame_000805.png,0.785757
806,video_frame_000806.png,0.783386
807,video_frame_000807.png,0.810875
808,video_frame_000808.png,0.824143
809,video_frame_000809.png,0.806593
810,video_frame_000810.png,0.769356
811,video_frame_000811.png,0.722956
812,video_frame_000812.png,0.705808
813,video_frame_000813.png,0.692946
